ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
WTS-02,wts02,Water Temp. Sensor,Temperature1.txt,6,DegC,CHWT-1,Heatpump,Temperature1 Ch 6,T1CH5,ADT7410 temperature sensor,NA,Heat Pump cold return Temp,TempBoard1,1,WTS-02 Cold Tank Output Water Temp For Ceiling Pannels,WTS-02 Heat Pump Cold Return,
WTS-03,wts03,Water Temp. Sensor,Temperature1.txt,9,DegC,CHWT-1,Heatpump,Temperature1 Ch 9,T1CH9,ADT7410 temperature sensor,NA,cold tank output water Temp for Airboxes,TempBoard1,1,WTS-03 Cold Tank Output Water Temp For Airboxes,WTS-03 Cold Tank Output Water Temp For Airboxes,
WTS-04,wts04,Water Temp. Sensor,Temperature1.txt,8,DegC,CHWT-1,Heatpump,Temperature1 Ch 8,T1CH8,ADT7410 temperature sensor,NA,heat pump Temp,TempBoard1,1,WTS-04 Heat Pump Temp,WTS-04 Heat Pump Temp,
WTS-31,wts31,Water Temp. Sensor,Temperature2.txt,5,DegC,HRU-1,Heatpump,Temperature2 Ch 5,T2CH15,ADT7410 temperature sensor,NA,return water Temp for heat rejection unit,TempBoard2,2,WTS-31 Return Water Temp For Heat Rejection Unit,WTS-31 Return Water Temp For Heat Rejection Unit,
WTS-32,wts32,Water Temp. Sensor,Temperature2.txt,8,DegC,HRU-1,Heatpump,Temperature2 Ch 8,T2CH16,ADT7410 temperature sensor,NA,supply water Temp for heat rejection unit,TempBoard2,2,WTS-32 Supply Water Temp For Heat Rejection Unit,WTS-32 Supply Water Temp For Heat Rejection Unit,
ACD-51,acd51,Air Carbon Dioxide Sensor,CO2flap31.txt,2,ppm,None,Panels,CO2flap31 ppm CO2,CO2flap31,CO2 flap,CO2 concentration,CO2 concentration at CO2 flap1,Telosb31,31,ACD-51 Co2 Concentration At Co2 Flap1,ACD-51 CO2 Flap1,x
ACD-52,acd52,Air Carbon Dioxide Sensor,CO2flap32.txt,2,ppm,None,Panels,CO2flap32 ppm CO2,CO2flap32,CO2 flap,CO2 concentration,CO2 concentration at CO2 flap2,Telosb32,32,ACD-52 Co2 Concentration At Co2 Flap2,ACD-52 CO2 Flap2,x
ACD-52,acd52,Air Carbon Dioxide Sensor,CO2flap33.txt,2,ppm,None,Panels,CO2flap33 ppm CO2,CO2flap33,CO2 flap,CO2 concentration,CO2 concentration at CO2 flap3,Telosb33,33,ACD-52 Co2 Concentration At Co2 Flap3,ACD-53 CO2 Flap3,x
ACD-54,acd54,Air Carbon Dioxide Sensor,CO2flap34.txt,2,ppm,None,Panels,CO2flap34 ppm CO2,CO2flap34,CO2 flap,CO2 concentration,CO2 concentration at CO2 flap4,Telosb34,34,ACD-54 Co2 Concentration At Co2 Flap4,ACD-54 CO2 Flap4,x
AHS-41,ahs41,Air Rel. Humidity Sensor,Telosb41.txt,2,%RH,None,Panels,Telosb41 Ch 2,Telosb41,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb41,Telosb41,41,AHS-41 Indoor Air Humidity At Telosb41,AHS-41 Indoor Air Humidity,x
AHS-42,ahs42,Air Rel. Humidity Sensor,Telosb42.txt,2,%RH,None,Panels,Telosb42 Ch 2,Telosb42,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb42,Telosb42,42,AHS-42 Indoor Air Humidity At Telosb42,AHS-42 Indoor Air Humidity,x
AHS-43,ahs43,Air Rel. Humidity Sensor,Telosb43.txt,2,%RH,None,Panels,Telosb43 Ch 2,Telosb43,Sensirion Sht11 sensor,Humidity,Indoor air  humidity at Telosb43,Telosb43,43,AHS-43 Indoor Air  Humidity At Telosb43,AHS-43 Indoor Air  Humidity,x
AHS-44,ahs44,Air Rel. Humidity Sensor,Telosb44.txt,2,%RH,None,Panels,Telosb44 Ch 2,Telosb44,Sensirion Sht11 sensor,Humidity,Indoor air  humidity at Telosb44,Telosb44,44,AHS-44 Indoor Air  Humidity At Telosb44,AHS-44 Indoor Air  Humidity,x
